apn_unformatted,primary_number,street_pre_direction,street_name,street_suffix,street_post_direction,secondary_designator,secondary_number,city,state,zip_code,latitude,longitude,county_name,standardized_land_use_type,area_sq_ft,beds_count,baths,total_area_sq_ft
0731500380,27136,,105,PL,SE,,,KENT,WA,98030,47.35841,-122.199648,KING,SINGLE FAMILY RESIDENTIAL,3052,4,2,1896
1279001800,3428,,I,ST,NE,APT,S304,AUBURN,WA,98002,47.337854,-122.219112,KING,CONDOMINIUM UNIT,475240,2,2,918
4051110160,14404,SE,252,PL,,,,KENT,WA,98042,47.375888,-122.149198,KING,SINGLE FAMILY RESIDENTIAL,9709,3,2,1340
5708500165,3235,,44,AVE,SW,,,SEATTLE,WA,98116,47.574582,-122.388442,KING,SINGLE FAMILY RESIDENTIAL,5850,3,1,1280
6021961060,17817,,87,AVE,E,,,PUYALLUP,WA,98375,47.093543,-122.313853,PIERCE,SINGLE FAMILY RESIDENTIAL,10684,5,2.5,2356
2517010150,22500,,134,PL,SE,,,KENT,WA,98042,47.400118,-122.161473,KING,SINGLE FAMILY RESIDENTIAL,8187,4,2,3640
29053100302400,714,,47,ST,SE,,,EVERETT,WA,98203,47.954672,-122.220128,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,11326,3,1,1444
9523101420,317,N,64,ST,,,,SEATTLE,WA,98103,47.675082,-122.354671,KING,TOWNHOUSE,917,3,1,1330
4000340120,2509,,35TH AVENUE,CT,NW,,,GIG HARBOR,WA,98335,47.281099,-122.586136,PIERCE,SINGLE FAMILY RESIDENTIAL,21829,4,2.75,2596
0420098020,2514,,95,AVE,E,,,EDGEWOOD,WA,98371,47.234092,-122.303622,PIERCE,SINGLE FAMILY RESIDENTIAL,46609,4,3.25,3255
2979800300,7723,,14,AVE,NE,,,SEATTLE,WA,98115,47.685668,-122.313739,KING,SINGLE FAMILY RESIDENTIAL,4134,4,4,2350
00373300600811,13922,,MANOR,WAY,,,,LYNNWOOD,WA,98087,47.872179,-122.265983,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,53431,3,3,1646
00651400003000,2015,,173,ST,SE,,,BOTHELL,WA,98012,47.840717,-122.205187,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,10454,3,2,1132
6662100150,10922,NE,194,DR,,,,BOTHELL,WA,98011,47.768956,-122.194741,KING,SINGLE FAMILY RESIDENTIAL,13505,5,3,3840
7212660960,37321,,18,AVE,S,,,FEDERAL WAY,WA,98003,47.267012,-122.311977,KING,SINGLE FAMILY RESIDENTIAL,8234,3,2,1840
0623049259,10447,,7,AVE,SW,,,SEATTLE,WA,98146,47.508906,-122.343695,KING,SINGLE FAMILY RESIDENTIAL,12390,2,1,1030
3920320570,14412,,72ND AVENUE,CT,E,,,PUYALLUP,WA,98375,47.125669,-122.332886,PIERCE,SINGLE FAMILY RESIDENTIAL,14178,3,3.25,2484
3630180070,1545,,24,AVE,NE,,,ISSAQUAH,WA,98029,47.541447,-121.998863,KING,SINGLE FAMILY RESIDENTIAL,5000,4,2,3660
0419205003,14520,,86,AVE,E,,,PUYALLUP,WA,98375,47.12419,-122.316254,PIERCE,SINGLE FAMILY RESIDENTIAL,151589,3,3.25,3194
00926300000900,12821,,58,DR,SE,,,SNOHOMISH,WA,98296,47.88061,-122.152113,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,5663,4,2,2736
9279200770,1914,,48,AVE,SW,,,SEATTLE,WA,98116,47.586351,-122.392532,KING,SINGLE FAMILY RESIDENTIAL,6000,4,2,3240
2363000560,412,,11,AVE,,APT,511,SEATTLE,WA,98122,47.605867,-122.317739,KING,CONDOMINIUM UNIT,21700,,1,503
4143000600,2040,,43,AVE,E,APT,415,SEATTLE,WA,98112,47.63821,-122.276153,KING,CONDOMINIUM UNIT,54842,1,1,553
01045601020500,12404,E,GIBSON,RD,,APT,J205,EVERETT,WA,98204,47.885677,-122.248774,SNOHOMISH,CONDOMINIUM UNIT,,2,1,851
1428000470,5406,,264,AVE,NE,,,REDMOND,WA,98053,47.654458,-121.98555,KING,MOBILE OR MANUFACTURED HOME,104108,,,
5148971310,5011,S,233,PL,,,,KENT,WA,98032,47.39345,-122.271954,KING,CONDOMINIUM UNIT,1236146,3,2,1700
6130500070,2138 B,N,113,ST,,,,SEATTLE,WA,98133,47.71082,-122.332192,KING,TOWNHOUSE,2082,3,2,1650
6891000040,16040,NE,44,CT,,,,REDMOND,WA,98052,47.649468,-122.125632,KING,SINGLE FAMILY RESIDENTIAL,9866,4,2,3070
3028200006,13622,,12,AVE,S,,,BURIEN,WA,98168,47.480603,-122.317809,KING,SINGLE FAMILY RESIDENTIAL,12500,4,1,2120
0452001110,867,NW,65,ST,,,,SEATTLE,WA,98117,47.675779,-122.368493,KING,SINGLE FAMILY RESIDENTIAL,4950,1,2,1190
00832900000900,18018,,AMBLESIDE,CT,,,,ARLINGTON,WA,98223,48.159536,-122.131086,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,6970,4,2,1864
0823069067,11914,,198,AVE,SE,,,ISSAQUAH,WA,98027,47.495451,-122.076349,KING,SINGLE FAMILY RESIDENTIAL,94525,4,2,3690
6026040210,13009,,119TH AVENUE,CT,E,,,PUYALLUP,WA,98374,47.137538,-122.270248,PIERCE,SINGLE FAMILY RESIDENTIAL,5055,4,2.5,2391
01192100000100,3006,,124,PL,SW,#,1,EVERETT,WA,98204,47.885,-122.2407,SNOHOMISH,CONDOMINIUM UNIT,,,,
9003600290,7224,,163,ST,E,,,PUYALLUP,WA,98375,47.107876,-122.332669,PIERCE,TOWNHOUSE,5953,3,2,1226
3945850190,9690,,LINDSAY,PL,S,,,SEATTLE,WA,98118,47.514412,-122.264094,KING,SINGLE FAMILY RESIDENTIAL,3428,4,2,2280
7203000800,28615,,13,AVE,S,,,FEDERAL WAY,WA,98003,47.345317,-122.317254,KING,SINGLE FAMILY RESIDENTIAL,12000,3,3,2440
01160700000900,4202,,177,ST,SE,,,BOTHELL,WA,98012,47.836916,-122.176088,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,3402,4,2,2370
1773101870,5612,,25,AVE,SW,,,SEATTLE,WA,98106,47.551451,-122.363962,KING,SINGLE FAMILY RESIDENTIAL,4800,2,1,830
7203110670,10630,,243,AVE,NE,,,REDMOND,WA,98053,47.692759,-122.014381,KING,SINGLE FAMILY RESIDENTIAL,7582,4,2,2420
0922059196,12054,SE,210,ST,,,,KENT,WA,98031,47.414625,-122.178269,KING,SINGLE FAMILY RESIDENTIAL,5910,4,2,2317
7199330310,10922,,157,CT,NE,,,REDMOND,WA,98052,47.697929,-122.129019,KING,SINGLE FAMILY RESIDENTIAL,6930,3,1,1720
5002870060,125,E,92,ST,,,,TACOMA,WA,98445,47.173969,-122.430019,PIERCE,SINGLE FAMILY RESIDENTIAL,7101,3,2.5,1844
2607760160,1410,,FORSTER,BLVD,SW,,,NORTH BEND,WA,98045,47.482477,-121.801038,KING,SINGLE FAMILY RESIDENTIAL,9637,4,2,2390
6204100160,10927,NE,157,ST,,,,BOTHELL,WA,98011,47.741006,-122.193786,KING,SINGLE FAMILY RESIDENTIAL,8654,4,2,2440
2436200610,3032,NE,BLAKELEY,ST,,,,SEATTLE,WA,98105,47.664162,-122.29455,KING,SINGLE FAMILY RESIDENTIAL,3600,2,1,1140
1175000059,3023,NW,60,ST,,,,SEATTLE,WA,98107,47.672046,-122.396788,KING,SINGLE FAMILY RESIDENTIAL,3764,3,1,2070
2354300872,265,SE,BUSH,ST,,,,ISSAQUAH,WA,98027,47.528148,-122.032361,KING,SINGLE FAMILY RESIDENTIAL,3005,3,2,2000
1823069102,14221,W,LAKE KATHLEEN,DR,SE,,,RENTON,WA,98059,47.474878,-122.091774,KING,SINGLE FAMILY RESIDENTIAL,73137,3,1,2430
4205001240,33020,,10,AVE,SW,UNIT,E202,FEDERAL WAY,WA,98023,47.303972,-122.347083,KING,CONDOMINIUM UNIT,897597,2,2,954
00803700003700,10815,,MERIDIAN,DR,SE,,,EVERETT,WA,98208,47.899743,-122.232375,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,6970,3,3,1689
1137400270,5104,NE,11,ST,,,,RENTON,WA,98059,47.500967,-122.151046,KING,SINGLE FAMILY RESIDENTIAL,5277,4,2,2020
1726600400,2905,,131,PL,NE,,,BELLEVUE,WA,98005,47.63621,-122.165445,KING,SINGLE FAMILY RESIDENTIAL,12260,4,2,2720
00403900023903,9603,,196,ST,SE,,,SNOHOMISH,WA,98296,47.819665,-122.102983,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,27007,4,2,2176
5374000110,7319,S,M,ST,,,,TACOMA,WA,98408,47.190443,-122.451129,PIERCE,SINGLE FAMILY RESIDENTIAL,6500,3,1,1256
1939050020,1410,,227,PL,NE,,,SAMMAMISH,WA,98074,47.622455,-122.035946,KING,SINGLE FAMILY RESIDENTIAL,10326,3,1,1440
9328500160,3518,,170,AVE,NE,,,BELLEVUE,WA,98008,47.642176,-122.11285,KING,SINGLE FAMILY RESIDENTIAL,8882,4,1,1660
00916500003000,18008,,14,PL,W,,,LYNNWOOD,WA,98037,47.834803,-122.25339,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,4356,3,2,2321
00481600501302,8202,,190,ST,SW,,,EDMONDS,WA,98026,47.826567,-122.344209,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,12872,4,3,2681
0319144041,3421,,138,ST,E,,,TACOMA,WA,98446,47.131919,-122.382968,PIERCE,SINGLE FAMILY RESIDENTIAL,80850,4,2.25,2492
2474100030,14600,SE,176,ST,,UNIT,A3,RENTON,WA,98058,47.44509,-122.14582,KING,CONDOMINIUM UNIT,487872,2,1,787
1524079091,4137,,FALL CITY CARNATION,RD,SE,,,FALL CITY,WA,98024,47.569343,-121.888096,KING,SINGLE FAMILY RESIDENTIAL,25997,3,1,1120
8086600035,2120,,98,AVE,NE,,,BELLEVUE,WA,98004,47.629902,-122.209433,KING,SINGLE FAMILY RESIDENTIAL,12405,5,1,2540
7909000060,7519,E,D,ST,,,,TACOMA,WA,98404,47.188342,-122.425776,PIERCE,SINGLE FAMILY RESIDENTIAL,6600,3,2,1418
3211700135,16414,SE,35,ST,,,,BELLEVUE,WA,98008,47.57874,-122.120758,KING,SINGLE FAMILY RESIDENTIAL,10628,3,1,1440
4057300010,4187,,244,PL,SE,,,SAMMAMISH,WA,98029,47.569945,-122.016512,KING,TOWNHOUSE,3592,3,1,1150
6025492110,18834,,110TH AVENUE,CT,E,,,PUYALLUP,WA,98374,47.084877,-122.277446,PIERCE,SINGLE FAMILY RESIDENTIAL,5000,5,2.75,2330
00579300300101,414,,60,ST,SE,,,EVERETT,WA,98203,47.943466,-122.226496,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,5663,2,1,888
00760200002400,505,,224,PL,SE,,,BOTHELL,WA,98021,47.794926,-122.224596,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,13504,4,2,2884
0419236076,14426,,119TH AVENUE,CT,E,,,PUYALLUP,WA,98374,47.12458,-122.270594,PIERCE,SINGLE FAMILY RESIDENTIAL,23087,4,2.5,2248
00525100000800,5906,,214,ST,SW,,,MOUNTLAKE TERRACE,WA,98043,47.803784,-122.312621,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,11761,4,2,1539
0524059051,2236,,108,AVE,SE,,,BELLEVUE,WA,98004,47.590104,-122.195443,KING,SINGLE FAMILY RESIDENTIAL,10216,4,2,3150
2767601132,1722,NW,63,ST,,,,SEATTLE,WA,98107,47.674835,-122.379984,KING,TOWNHOUSE,1525,2,3,1670
01093400004700,3215,,217,PL,SE,,,BOTHELL,WA,98021,47.800952,-122.188715,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,10568,4,3,2949
00880800000800,13415,,PACIFIC POINTE,LN,,,,MUKILTEO,WA,98275,47.876165,-122.289828,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,7405,3,2,2148
3037001260,20304,,71,ST,E,,,BONNEY LAKE,WA,98391,47.192809,-122.158083,PIERCE,SINGLE FAMILY RESIDENTIAL,14000,4,1,1008
7515200709,5748,,OVERLOOK,AVE,NE,,,TACOMA,WA,98422,47.307972,-122.430308,PIERCE,SINGLE FAMILY RESIDENTIAL,9400,4,2.5,1372
1737330250,8909,NE,198,ST,,,,BOTHELL,WA,98011,47.771473,-122.221043,KING,SINGLE FAMILY RESIDENTIAL,8289,4,2,2830
3322059202,12324,SE,276,PL,,,,KENT,WA,98030,47.353834,-122.176913,KING,SINGLE FAMILY RESIDENTIAL,7643,4,3,2130
8651730430,14238,,93,AVE,NE,,,KIRKLAND,WA,98034,47.72959,-122.217654,KING,SINGLE FAMILY RESIDENTIAL,8400,3,1,1570
3695000590,1005,S,62,ST,,,,TACOMA,WA,98408,47.201253,-122.447595,PIERCE,SINGLE FAMILY RESIDENTIAL,4800,3,1,847
2788150180,790,,126,AVE,NE,#,118,BELLEVUE,WA,98005,47.616974,-122.170993,KING,CONDOMINIUM UNIT,90997,2,2,950
7853220620,36322,SE,ISLEY,ST,,,,SNOQUALMIE,WA,98065,47.533373,-121.855655,KING,SINGLE FAMILY RESIDENTIAL,12949,3,2,2860
9297300445,3815,,33,AVE,SW,,,SEATTLE,WA,98126,47.569362,-122.37427,KING,SINGLE FAMILY RESIDENTIAL,7000,2,1,1010
4178300190,14106,NE,10,PL,,,,BELLEVUE,WA,98007,47.620275,-122.151093,KING,SINGLE FAMILY RESIDENTIAL,13786,4,3,3530
00371400007400,131,,MAGNOLIA,AVE,,,,EVERETT,WA,98203,47.939934,-122.230392,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,13068,2,1,1039
5002750050,18015,,37TH AVENUE,CT,E,,,TACOMA,WA,98446,47.09255,-122.379978,PIERCE,SINGLE FAMILY RESIDENTIAL,5210,3,2.5,1600
00637900002500,22210,,7,PL,W,,,BOTHELL,WA,98021,47.796564,-122.243582,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,13068,3,2,1202
3112900140,235,NW,198,ST,,,,SHORELINE,WA,98177,47.772502,-122.360661,KING,SINGLE FAMILY RESIDENTIAL,9100,3,1,1420
3422049274,27425,,42,AVE,S,,,AUBURN,WA,98001,47.355699,-122.282111,KING,SINGLE FAMILY RESIDENTIAL,22430,4,1,3090
9206000160,8512,,LATONA,AVE,NE,,,SEATTLE,WA,98115,47.690832,-122.325313,KING,SINGLE FAMILY RESIDENTIAL,5463,3,1,1490
7702100010,23736,NE,61,ST,,,,REDMOND,WA,98053,47.662056,-122.022164,KING,SINGLE FAMILY RESIDENTIAL,41877,4,3,3560
5522600195,9727,,9,AVE,NW,,,SEATTLE,WA,98117,47.700968,-122.36913,KING,SINGLE FAMILY RESIDENTIAL,6750,2,1,2000
2560000192,18316,,74,ST,E,,,BONNEY LAKE,WA,98391,47.191328,-122.183477,PIERCE,SINGLE FAMILY RESIDENTIAL,13389,4,2.5,1760
5500100030,1427,NW,205,ST,,,,SHORELINE,WA,98177,47.777649,-122.37647,KING,SINGLE FAMILY RESIDENTIAL,7827,3,1,1550
7698250280,1756,,BELLEVUE,WAY,NE,,,BELLEVUE,WA,98004,47.626499,-122.200206,KING,CONDOMINIUM UNIT,411642,2,2,2172
00622500000700,2929,,193,PL,SE,,,BOTHELL,WA,98012,47.821958,-122.192767,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,11761,3,1,960
8945002420,3118,N,31,ST,,,,TACOMA,WA,98407,47.27537,-122.477282,PIERCE,SINGLE FAMILY RESIDENTIAL,6000,4,2.75,2040
0739600290,11219,SE,213,ST,,,,KENT,WA,98031,47.410566,-122.191073,KING,SINGLE FAMILY RESIDENTIAL,9344,3,1,1500
7972602806,1401,SW,CLOVERDALE,ST,,,,SEATTLE,WA,98106,47.526258,-122.353366,KING,SINGLE FAMILY RESIDENTIAL,8494,4,1,1620
5422560100,6318,,156,PL,NE,,,REDMOND,WA,98052,47.663262,-122.131449,KING,SINGLE FAMILY RESIDENTIAL,6720,3,1,1430
00672801100700,7219,,224,ST,SW,APT,K7,EDMONDS,WA,98026,47.796881,-122.330722,SNOHOMISH,CONDOMINIUM UNIT,,2,1,847
9532000560,19729,,129,AVE,NE,,,WOODINVILLE,WA,98072,47.771083,-122.168279,KING,SINGLE FAMILY RESIDENTIAL,3600,4,2,2050
6844703670,3848,NE,93,ST,,,,SEATTLE,WA,98115,47.696192,-122.285741,KING,SINGLE FAMILY RESIDENTIAL,5610,4,2,1720
00453500000400,21029,,50,PL,W,,,LYNNWOOD,WA,98036,47.807499,-122.300657,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,8712,5,2,3471
0561000415,10621,,61,AVE,S,,,SEATTLE,WA,98178,47.505499,-122.257472,KING,SINGLE FAMILY RESIDENTIAL,6900,5,1,4240
2155500100,13904,SE,141,ST,,,,RENTON,WA,98059,47.477163,-122.154728,KING,SINGLE FAMILY RESIDENTIAL,26892,4,1,1630
9834201323,3635 B,,COURTLAND,PL,S,,,SEATTLE,WA,98144,47.570569,-122.287584,KING,TOWNHOUSE,1650,3,1,1560
2273600430,11716,NE,95,ST,,,,KIRKLAND,WA,98033,47.686578,-122.185168,KING,SINGLE FAMILY RESIDENTIAL,8511,3,1,1910
3335000055,5021,,47,AVE,S,,,SEATTLE,WA,98118,47.556381,-122.274633,KING,SINGLE FAMILY RESIDENTIAL,4098,3,2,2400
2658000376,4910,S,ROSE,ST,,,,SEATTLE,WA,98118,47.52932,-122.271183,KING,SINGLE FAMILY RESIDENTIAL,6250,4,1,1300
1568100240,14521,,31,AVE,NE,,,SHORELINE,WA,98155,47.734409,-122.295548,KING,SINGLE FAMILY RESIDENTIAL,8451,3,1,1340
9197970340,10822,,SLATER,AVE,NE,,,KIRKLAND,WA,98033,47.698109,-122.177249,KING,CONDOMINIUM UNIT,161782,2,2,1172
00922500001900,16330,,50,PL,W,,,EDMONDS,WA,98026,47.850346,-122.301614,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,4356,3,2,1204
1843050700,2033,,2,AVE,,APT,1010,SEATTLE,WA,98121,47.612076,-122.342947,KING,CONDOMINIUM UNIT,19452,1,1,887
7229601070,4308,NE,SUNSET,BLVD,,UNIT,T3,RENTON,WA,98059,47.503887,-122.162735,KING,CONDOMINIUM UNIT,564320,3,1,982
6022671150,13309,,120,AVE,E,,,PUYALLUP,WA,98374,47.134792,-122.268078,PIERCE,SINGLE FAMILY RESIDENTIAL,6245,3,2.5,2060
00373000800801,19228,,SPRAGUE,DR,,,,BOTHELL,WA,98012,47.823813,-122.22342,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,27878,3,3,2287
5004730040,1823,,192ND STREET,CT,E,,,SPANAWAY,WA,98387,47.082063,-122.40436,PIERCE,SINGLE FAMILY RESIDENTIAL,4217,3,1.75,1357
9395200030,8609,,DALTON,DR,SW,,,LAKEWOOD,WA,98498,47.177026,-122.552258,PIERCE,SINGLE FAMILY RESIDENTIAL,11200,3,1.5,1124
5700002595,2306,,LAKE PARK,DR,S,,,SEATTLE,WA,98144,47.581781,-122.287573,KING,SINGLE FAMILY RESIDENTIAL,7336,4,2,3970
00909800003000,4801,,152,ST,SE,,,EVERETT,WA,98208,47.859972,-122.167892,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,3920,3,2,1893
2922059132,25913,,116,AVE,SE,,,KENT,WA,98030,47.369493,-122.187295,KING,SINGLE FAMILY RESIDENTIAL,33555,4,2,2780
01024300002100,15105,,228,AVE,SE,,,MONROE,WA,98272,47.86067,-121.925975,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,15063,4,2,3017
4139850130,5291,,164,AVE,SE,,,BELLEVUE,WA,98006,47.555083,-122.124783,KING,CONDOMINIUM UNIT,436602,3,2,1971
7202270390,9720,,229,LN,NE,,,REDMOND,WA,98053,47.686369,-122.03461,KING,SINGLE FAMILY RESIDENTIAL,9947,4,2,2980
9327000260,5802,S,CHEYENNE,ST,,,,TACOMA,WA,98409,47.204281,-122.498662,PIERCE,SINGLE FAMILY RESIDENTIAL,7613,3,1.75,1304
5468300260,2100,N,106,ST,,UNIT,406,SEATTLE,WA,98133,47.706214,-122.333408,KING,CONDOMINIUM UNIT,18179,1,1,560
01000300000500,7729,,153,ST,SE,,,SNOHOMISH,WA,98296,47.858896,-122.128474,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,7884,4,2,2947
4407000030,5814,,41,AVE,E,,,TACOMA,WA,98443,47.203799,-122.374713,PIERCE,SINGLE FAMILY RESIDENTIAL,9555,4,2.25,2036
6056110670,3109,S,ADAMS,ST,,,,SEATTLE,WA,98108,47.564997,-122.29341,KING,SINGLE FAMILY RESIDENTIAL,2855,3,1,1550
